datetime,ticker,size,price
2025-11-17,-3,9.3,0
2025-11-18,1,9.38,0
2025-11-19,-1,9.43,0
2025-11-20,1,9.53,0
2025-11-21,1,26.4,1
2025-11-24,1,25.85,1
2025-11-25,-4,1.69,3
2025-11-26,2,9.27,0
2025-11-27,-1,9.28,0
2025-11-28,-1,26.66,1
2025-12-01,-2,1.71,3
2025-12-02,1,9.16,0
2025-12-03,-2,9.26,0
2025-12-04,-1,9.18,0
2025-12-05,2,9.08,0
2025-12-08,1,9.06,0
2025-12-09,-1,8.98,0
2025-12-10,3,1.67,3
2025-12-11,-4,9.4,0
2025-12-12,1,8.98,0
2025-12-15,7,9.18,0
2025-12-16,-7,9.28,0
2025-12-17,6,1.64,3
2025-12-18,4,9.4,0
2025-12-19,-3,9.37,0
2025-12-22,2,9.42,0
2025-12-23,2,1.65,3
2025-12-24,4,1.66,3
2025-12-25,-1,9.66,0
2025-12-26,-1,10.96,7
2025-12-29,-1,27.21,1
2025-12-30,2,27.4,1
2025-12-31,1,9.75,0
